X,Y,Z,Yaw
-0.00022537706763060654,-0.004430929937427126,-0.06320067204280985,-0.00747358787279693
-0.00022536764325419532,-0.004430889540448499,-0.06320067501736704,-0.007473739416300577
-0.00022537706763060654,-0.004430929937427126,-0.06320067204280985,-0.00747358787279693
-0.00022536764325419532,-0.004430889540448499,-0.06320067501736704,-0.007473739416300577
-0.00022529568386381142,-0.004430929069383468,-0.06320066814674016,-0.007473572547862193
-0.00022529568386381142,-0.004430929069383468,-0.06320066814674016,-0.007473572547862193
-0.00022528720417248557,-0.004430892940135437,-0.06320067187610706,-0.0074737444167313274
-0.00022528720417248557,-0.004430892940135437,-0.06320067187610706,-0.0074737444167313274
-0.0002252126635673788,-0.004430928489118045,-0.06320066524275694,-0.007473580222090439
-0.00022520251704250156,-0.004430888666816318,-0.06320066821212558,-0.0074737366896574205
-0.00022512923047024631,-0.00443092728331726,-0.06320066164010846,-0.007473578711904042
-0.0002252126635673788,-0.004430928489118045,-0.06320066524275694,-0.007473580222090439
-0.00022512070878386026,-0.004430890680729892,-0.06320066542260822,-0.007473751265921562
-0.00022520251704250156,-0.004430888666816318,-0.06320066821212558,-0.0074737366896574205
-0.00022512923047024631,-0.00443092728331726,-0.06320066164010846,-0.007473578711904042
-0.00022504741005503412,-0.0044309268121405995,-0.0632006588637141,-0.00747358047923442
-0.00022512070878386026,-0.004430890680729892,-0.06320066542260822,-0.007473751265921562
-0.00022504741005503412,-0.0044309268121405995,-0.0632006588637141,-0.00747358047923442
-0.00022503694801173472,-0.004430886117173204,-0.06320066160606508,-0.007473732205191344
-0.00022503694801173472,-0.004430886117173204,-0.06320066160606508,-0.007473732205191344
-0.00022496524419746144,-0.004430924953797585,-0.06320065490089866,-0.007473567233516896
-0.00022496524419746144,-0.004430924953797585,-0.06320065490089866,-0.007473567233516896
-0.0002249574043886697,-0.004430889057527285,-0.06320065877284825,-0.0074737402330229095
-0.0002249574043886697,-0.004430889057527285,-0.06320065877284825,-0.0074737402330229095
-0.00022488274883748077,-0.004430924508924575,-0.0632006523393285,-0.007473579264075829
-0.00022488274883748077,-0.004430924508924575,-0.0632006523393285,-0.007473579264075829
-0.00022487303558237255,-0.004430885078286692,-0.06320065536814057,-0.007473735093745698
-0.00022487303558237255,-0.004430885078286692,-0.06320065536814057,-0.007473735093745698
-0.00022480032615758948,-0.004430924226179415,-0.0632006487783843,-0.007473574119394429
-0.00022480032615758948,-0.004430924226179415,-0.0632006487783843,-0.007473574119394429
-0.00022479229137429245,-0.004430887938908178,-0.06320065252479976,-0.007473745913727231
-0.00022479229137429245,-0.004430887938908178,-0.06320065252479976,-0.007473745913727231
-0.00022471827967365278,-0.004430923051776465,-0.06320064595865676,-0.007473582602761016
-0.00022471827967365278,-0.004430923051776465,-0.06320064595865676,-0.007473582602761016
-0.00022470717442012525,-0.004430882298691485,-0.06320064855191349,-0.007473734966662074
-0.00022470717442012525,-0.004430882298691485,-0.06320064855191349,-0.007473734966662074
-0.00022463539889137386,-0.00443092151901054,-0.06320064203029943,-0.007473568737720811
-0.00022463539889137386,-0.00443092151901054,-0.06320064203029943,-0.007473568737720811
-0.0002246286756738148,-0.0044308858224061075,-0.06320064604456208,-0.007473738386069168
-0.0002246286756738148,-0.0044308858224061075,-0.06320064604456208,-0.007473738386069168
-0.00022455570298028638,-0.004430922787345571,-0.06320063928599809,-0.007473564511591204
-0.00022455570298028638,-0.004430922787345571,-0.06320063928599809,-0.007473564511591204
-0.00022454627995786673,-0.004430883899354102,-0.06320064222778676,-0.007473723166966094
-0.00022454627995786673,-0.004430883899354102,-0.06320064222778676,-0.007473723166966094
-0.00022447458457264778,-0.004430923579249953,-0.06320063546153201,-0.007473557187278858
-0.00022447458457264778,-0.004430923579249953,-0.06320063546153201,-0.007473557187278858
-0.00022446750507995258,-0.004430887782163204,-0.06320063939527026,-0.0074737262906183445
-0.00022446750507995258,-0.004430887782163204,-0.06320063939527026,-0.0074737262906183445
-0.0002243944361939778,-0.004430924335782349,-0.06320063251827016,-0.007473553434095536
-0.0002243944361939778,-0.004430924335782349,-0.06320063251827016,-0.007473553434095536
-0.0002243844113490566,-0.004430884505553536,-0.06320063536017473,-0.007473709458008224
-0.0002243844113490566,-0.004430884505553536,-0.06320063536017473,-0.007473709458008224
-0.00022431220993307868,-0.00443092287863367,-0.06320062869628107,-0.007473549683274492
-0.00022431220993307868,-0.00443092287863367,-0.06320062869628107,-0.007473549683274492
-0.0002243045563878436,-0.004430886667194704,-0.0632006325908821,-0.007473721810807341
-0.0002243045563878436,-0.004430886667194704,-0.0632006325908821,-0.007473721810807341
-0.00022423160929695672,-0.004430922400284865,-0.06320062614263955,-0.007473555688256859
-0.00022423160929695672,-0.004430922400284865,-0.06320062614263955,-0.007473555688256859
-0.0002242146593208101,-0.004430867637873721,-0.06320062868777207,-0.007473638040335284
-0.0002242146593208101,-0.004430867637873721,-0.06320062868777207,-0.007473638040335284
-0.00022414287112666395,-0.004430908979391499,-0.06320062232098622,-0.007473489667675706
-0.00022414287112666395,-0.004430908979391499,-0.06320062232098622,-0.007473489667675706
-0.00022413684863135247,-0.004430876713765693,-0.06320062567504339,-0.00747367597672998
-0.00022413684863135247,-0.004430876713765693,-0.06320062567504339,-0.00747367597672998
-0.00022405971970278042,-0.004430913511566815,-0.06320061930990553,-0.0074735264683292064
-0.00022405971970278042,-0.004430913511566815,-0.06320061930990553,-0.0074735264683292064
-0.00022405277993478405,-0.004430878840927993,-0.0632006229625647,-0.0074737036573397225
-0.00022405277993478405,-0.004430878840927993,-0.0632006229625647,-0.0074737036573397225
-0.00022397812684427955,-0.004430915018664477,-0.0632006162950397,-0.007473543398153745
-0.00022397812684427955,-0.004430915018664477,-0.0632006162950397,-0.007473543398153745
-0.00022397044429948304,-0.004430876771972424,-0.063200619556575,-0.007473704745118322
-0.00022397044429948304,-0.004430876771972424,-0.063200619556575,-0.007473704745118322
-0.00022389806734230203,-0.004430917826641043,-0.06320061300549351,-0.007473543175752014
-0.00022389806734230203,-0.004430917826641043,-0.06320061300549351,-0.007473543175752014
-0.000223890478234701,-0.0044308823338134115,-0.06320061675331409,-0.007473719307487847
-0.000223890478234701,-0.0044308823338134115,-0.06320061675331409,-0.007473719307487847
-0.0002238158451369314,-0.0044309180862970934,-0.06320061012162381,-0.007473556660425924
-0.0002238158451369314,-0.0044309180862970934,-0.06320061012162381,-0.007473556660425924
-0.00022380680554977446,-0.004430877912586631,-0.06320061294217222,-0.007473708727964084
-0.00022380680554977446,-0.004430877912586631,-0.06320061294217222,-0.007473708727964084
-0.00022373507406817095,-0.004430917708992219,-0.06320060611033021,-0.007473543021863267
-0.00022373507406817095,-0.004430917708992219,-0.06320060611033021,-0.007473543021863267
-0.00022372760581774662,-0.004430882177210816,-0.06320060986950357,-0.007473718444656031
-0.00022372760581774662,-0.004430882177210816,-0.06320060986950357,-0.007473718444656031
-0.000223653429559564,-0.004430917860085148,-0.06320060319330781,-0.007473552094565594
-0.000223653429559564,-0.004430917860085148,-0.06320060319330781,-0.007473552094565594
